source,target
1748,1222952
1748,1748
1748,1749
1748,1748
1748,12147
1748,13784
1748,12149
1748,56446
1748,77120
1748,151043
1748,53862
1748,16478
1748,160172
1748,1947
1748,62578
1748,993162
2323039,2323039
2323039,2339577
2339577,2323039
2339577,2339577
10127,111946
10127,10127
10127,1215879
10127,10127
10127,1540602
10127,10127
10127,1229169
10127,77003
10127,199449
10127,819
10127,33684
10127,181452
10127,84678
1229169,10127
1229169,1229169
1816204,1816204
1816204,1816207
1816207,1816204
1816207,1816207
1816207,1816204
1816207,1816207
56446,56446
56446,543530
56446,151043
56446,56446
56446,226502
56446,151043
56446,56446
56446,237746
56446,151043
56446,56446
56446,90031
56446,151043
56446,56446
56446,74749
56446,565430
56446,56446
56446,89888
56446,90027
56446,56446
56446,112219
56446,543530
56446,56446
56446,151043
56446,115788
56446,56446
56446,1170009
56446,565415
56446,56446
56446,89888
56446,151043
56446,56446
56446,218176
56446,543544
56446,56446
56446,90031
56446,112219
56446,56446
56446,61903
56446,90031
56446,56446
56446,238367
56446,115788
56446,56446
56446,543530
56446,543599
56446,56446
56446,61903
56446,119154
56446,56446
56446,105656
56446,115788
56446,56446
56446,115788
56446,112219
56446,56446
56446,77120
56446,1104687
56446,56446
56446,77120
56446,151043
56446,56446
56446,74749
56446,151042
56446,56446
56446,238330
56446,543521
56446,56446
56446,151043
56446,77120
56446,155096
56446,56446
56446,1155272
56446,18918
56446,56446
56446,112219
56446,237746
56446,56446
56446,568555
56446,1170013
56446,56446
56446,568555
56446,115788
56446,56446
56446,89888
56446,119154
56446,56446
56446,543530
56446,119154
56446,56446
56446,1202307
56446,151043
56446,56446
56446,87919
56446,56446
56446,565430
56446,56446
56446,115788
56446,56446
56446,18918
56446,56446
56446,57342
56446,56446
56446,115788
56446,56446
56446,151043
56446,112219
56446,56446
56446,1195465
56446,90031
56446,56446
56446,16620
56446,56446
56446,151042
56446,56446
56446,565430
56446,1200822
56446,56446
56446,74749
56446,56446
56446,151043
56446,56446
56446,997887
56446,238330
56446,56446
56446,115788
56446,151043
56446,565426
56446,56446
56446,90027
56446,565430
56446,56446
56446,115788
56446,543530
56446,56446
56446,74749
56446,90031
56446,56446
56446,543530
56446,115788
56446,56446
56446,151042
56446,543599
56446,56446
56446,77763
56446,151043
56446,56446
56446,115788
56446,89888
56446,56446
56446,151043
56446,115788
56446,56446
56446,1081432
56446,56446
56446,16620
56446,77120
56446,56446
56446,61903
56446,1096280
56446,56446
56446,151043
56446,565426
56446,56446
56446,57342
56446,77120
56446,56446
56446,151043
56446,1445097
56446,56446
56446,74749
56446,543535
56446,90031
56446,87919
56446,565421
56446,151043
56446,115788
56446,1170013
56446,112219
56446,543530
56446,87919
56446,89888
56446,151043
56446,89888
56446,115788
56446,90027
56446,151043
56446,74749
56446,567257
56446,87919
56446,115788
56446,87919
56446,1198946
56446,565430
56446,90027
56446,1566516
56446,1923222
56446,115788
56446,151043
56446,1495880
56446,151043
56446,1495880
56446,237746
56446,565426
56446,151043
56446,61903
56446,568555
56446,237746
56446,74749
56446,115788
56446,112219
56446,87919
56446,568555
56446,237746
56446,87919
56446,74749
56446,151042
56446,115788
56446,151043
56446,565430
56446,238330
56446,491896
56446,115788
56446,87919
56446,74749
56446,1081435
56446,565430
56446,115788
56446,87919
56446,1081432
56446,65236
56446,151043
56446,137050
56446,543535
56446,1170013
56446,87919
56446,74749
56446,1170011
56446,115788
56446,65236
56446,74749
56446,1200822
56446,1419127
56446,1200138
56446,1425186
56446,160039
56446,115788
56446,112219
56446,151043
56446,90027
56446,89888
56446,1275416
56446,1197228
56446,74749
56446,1275417
56446,1093514
56446,87919
56446,115788
56446,1170010
56446,1170014
56446,18918
56446,87919
56446,90031
56446,89888
56446,1198946
56446,87919
56446,65605
56446,77763
56446,1528514
56446,565430
56446,237737
56446,1155264
56446,711143
56446,238321
56446,87919
56446,543535
56446,1170013
56446,90031
56446,906496
56446,77120
56446,567335
56446,151043
56446,87919
56446,112219
56446,112217
56446,65236
56446,115788
56446,57342
56446,115788
56446,151043
56446,90027
56446,1170013
56446,543535
56446,87919
56446,105656
56446,89888
56446,151043
56446,77763
56446,112219
56446,1216846
56446,151043
56446,115788
56446,567335
56446,112219
56446,112217
56446,1463963
56446,16620
56446,1170011
56446,79027
56446,1108052
56446,1198946
56446,74749
56446,90031
56446,18918
56446,238321
56446,33016
56446,74749
56446,151042
56446,135352
56446,1207045
56446,1216782
56446,90031
56446,567335
56446,115788
56446,16620
56446,89023
56446,567335
56446,115788
56446,112219
56446,115788
56446,77763
56446,1216782
56446,1207043
56446,1167702
56446,1167703
56446,90027
56446,61903
56446,1216782
56446,1207043
56446,1167702
56446,569166
56446,77120
56446,1155272
56446,56446
56446,77120
56446,151043
